Date,Open,High,Low,Close,Adj Close,Volume,ticker
2007-01-03,530.0,540.0,500.0,510.0,510.0,4077,RIBT
2007-01-04,504.0,516.0,496.0,502.0,502.0,3156,RIBT
2007-01-05,504.0,514.0,498.0,504.0,504.0,3547,RIBT
2007-01-08,504.0,506.0,466.0,480.0,480.0,3900,RIBT
2007-01-09,478.0,480.0,438.0,450.0,450.0,4972,RIBT
2007-01-10,440.0,450.0,434.0,442.0,442.0,4091,RIBT
2007-01-11,442.0,484.0,440.0,472.0,472.0,4840,RIBT
2007-01-12,482.0,484.0,462.0,474.0,474.0,2992,RIBT
2007-01-16,478.0,478.0,462.0,466.0,466.0,2064,RIBT
2007-01-17,468.0,470.0,466.0,466.0,466.0,1697,RIBT
2007-01-18,464.0,472.0,456.0,466.0,466.0,3293,RIBT
2007-01-19,466.0,488.0,466.0,478.0,478.0,2656,RIBT
2007-01-22,476.0,480.0,468.0,472.0,472.0,2012,RIBT
2007-01-23,480.0,482.0,464.0,468.0,468.0,1204,RIBT
2007-01-24,474.0,474.0,454.0,458.0,458.0,1580,RIBT
2007-01-25,454.0,458.0,450.0,454.0,454.0,1376,RIBT
2007-01-26,446.0,458.0,446.0,458.0,458.0,1071,RIBT
2007-01-29,462.0,468.0,452.0,464.0,464.0,1079,RIBT
2007-01-30,468.0,470.0,446.0,464.0,464.0,1360,RIBT
2007-01-31,466.0,478.0,458.0,472.0,472.0,1411,RIBT
2007-02-01,470.0,496.0,466.0,490.0,490.0,4357,RIBT
2007-02-02,496.0,514.0,492.0,498.0,498.0,3084,RIBT
2007-02-05,516.0,518.0,502.0,506.0,506.0,1711,RIBT
2007-02-06,514.0,524.0,508.0,516.0,516.0,1803,RIBT
2007-02-07,514.0,524.0,512.0,518.0,518.0,1840,RIBT
2007-02-08,520.0,530.0,516.0,526.0,526.0,2509,RIBT
2007-02-09,528.0,552.0,526.0,536.0,536.0,7541,RIBT
2007-02-12,550.0,586.0,542.0,576.0,576.0,11481,RIBT
2007-02-13,586.0,638.0,584.0,626.0,626.0,14377,RIBT
2007-02-14,642.0,662.0,612.0,614.0,614.0,15100,RIBT
2007-02-15,614.0,638.0,590.0,620.0,620.0,4745,RIBT
2007-02-16,550.0,612.0,540.0,586.0,586.0,27438,RIBT
2007-02-20,624.0,644.0,614.0,636.0,636.0,11189,RIBT
2007-02-21,640.0,684.0,636.0,670.0,670.0,12147,RIBT
2007-02-22,680.0,684.0,652.0,658.0,658.0,6893,RIBT
2007-02-23,664.0,664.0,630.0,660.0,660.0,6071,RIBT
2007-02-26,680.0,684.0,672.0,678.0,678.0,9676,RIBT
2007-02-27,674.0,678.0,632.0,652.0,652.0,8609,RIBT
2007-02-28,656.0,660.0,614.0,638.0,638.0,6935,RIBT
2007-03-01,642.0,652.0,622.0,644.0,644.0,4081,RIBT
2007-03-02,666.0,668.0,620.0,628.0,628.0,5413,RIBT
2007-03-05,620.0,624.0,602.0,606.0,606.0,4315,RIBT
2007-03-06,628.0,636.0,618.0,628.0,628.0,6423,RIBT
2007-03-07,632.0,648.0,630.0,630.0,630.0,4777,RIBT
2007-03-08,642.0,642.0,520.0,598.0,598.0,37094,RIBT
2007-03-09,616.0,622.0,600.0,604.0,604.0,6394,RIBT
2007-03-12,614.0,616.0,594.0,596.0,596.0,5954,RIBT
2007-03-13,600.0,600.0,560.0,560.0,560.0,7456,RIBT
2007-03-14,548.0,606.0,546.0,602.0,602.0,9182,RIBT
2007-03-15,608.0,614.0,602.0,604.0,604.0,10900,RIBT
2007-03-16,614.0,614.0,594.0,600.0,600.0,2925,RIBT
2007-03-19,602.0,608.0,592.0,594.0,594.0,3284,RIBT
2007-03-20,598.0,604.0,590.0,604.0,604.0,6423,RIBT
2007-03-21,606.0,608.0,596.0,598.0,598.0,2389,RIBT
2007-03-22,610.0,612.0,600.0,602.0,602.0,2738,RIBT
2007-03-23,610.0,610.0,600.0,606.0,606.0,2977,RIBT
2007-03-26,608.0,630.0,606.0,626.0,626.0,7512,RIBT
2007-03-27,628.0,630.0,612.0,620.0,620.0,6357,RIBT
2007-03-28,620.0,620.0,610.0,614.0,614.0,2862,RIBT
2007-03-29,620.0,620.0,612.0,616.0,616.0,1819,RIBT
2007-03-30,618.0,618.0,600.0,602.0,602.0,9073,RIBT
2007-04-02,618.0,660.0,618.0,640.0,640.0,12703,RIBT
2007-04-03,656.0,656.0,616.0,624.0,624.0,6858,RIBT
2007-04-04,622.0,622.0,596.0,606.0,606.0,7522,RIBT
2007-04-05,606.0,624.0,600.0,616.0,616.0,1941,RIBT
2007-04-09,620.0,648.0,620.0,644.0,644.0,4765,RIBT
2007-04-10,660.0,724.0,650.0,722.0,722.0,17807,RIBT
2007-04-11,722.0,750.0,708.0,732.0,732.0,11480,RIBT
2007-04-12,734.0,738.0,690.0,702.0,702.0,4775,RIBT
2007-04-13,714.0,720.0,704.0,720.0,720.0,4578,RIBT
2007-04-16,778.0,810.0,778.0,790.0,790.0,17405,RIBT
2007-04-17,816.0,818.0,792.0,800.0,800.0,12269,RIBT
2007-04-18,802.0,802.0,796.0,796.0,796.0,6078,RIBT
2007-04-19,796.0,802.0,774.0,788.0,788.0,3961,RIBT
2007-04-20,790.0,792.0,752.0,762.0,762.0,5033,RIBT
2007-04-23,762.0,800.0,762.0,790.0,790.0,4842,RIBT
2007-04-24,788.0,788.0,778.0,780.0,780.0,3754,RIBT
2007-04-25,788.0,792.0,764.0,776.0,776.0,3560,RIBT
2007-04-26,778.0,780.0,774.0,776.0,776.0,2130,RIBT
2007-04-27,776.0,790.0,764.0,782.0,782.0,2291,RIBT
2007-04-30,802.0,808.0,790.0,794.0,794.0,4614,RIBT
2007-05-01,794.0,796.0,750.0,752.0,752.0,7745,RIBT
2007-05-02,762.0,800.0,752.0,796.0,796.0,3563,RIBT
2007-05-03,800.0,806.0,788.0,790.0,790.0,3497,RIBT
2007-05-04,798.0,798.0,790.0,798.0,798.0,1134,RIBT
2007-05-07,804.0,804.0,798.0,800.0,800.0,3757,RIBT
2007-05-08,802.0,802.0,782.0,798.0,798.0,3182,RIBT
2007-05-09,800.0,866.0,800.0,860.0,860.0,11967,RIBT
2007-05-10,870.0,940.0,858.0,910.0,910.0,13323,RIBT
2007-05-11,932.0,942.0,878.0,942.0,942.0,9397,RIBT
2007-05-14,960.0,1002.0,960.0,1000.0,1000.0,26723,RIBT
2007-05-15,1008.0,1008.0,900.0,920.0,920.0,23524,RIBT
2007-05-16,716.0,840.0,710.0,744.0,744.0,80379,RIBT
2007-05-17,776.0,776.0,722.0,746.0,746.0,29486,RIBT
2007-05-18,756.0,758.0,736.0,756.0,756.0,16163,RIBT
2007-05-21,764.0,810.0,752.0,786.0,786.0,14335,RIBT
2007-05-22,784.0,784.0,742.0,744.0,744.0,12948,RIBT
2007-05-23,754.0,754.0,736.0,748.0,748.0,7360,RIBT
2007-05-24,752.0,752.0,602.0,666.0,666.0,38132,RIBT
2007-05-25,668.0,670.0,610.0,662.0,662.0,13305,RIBT
2007-05-29,666.0,690.0,646.0,680.0,680.0,7695,RIBT
2007-05-30,680.0,706.0,676.0,680.0,680.0,6014,RIBT
2007-05-31,690.0,694.0,656.0,680.0,680.0,6285,RIBT
2007-06-01,676.0,688.0,634.0,662.0,662.0,6085,RIBT
2007-06-04,666.0,708.0,650.0,700.0,700.0,19014,RIBT
2007-06-05,714.0,754.0,520.0,718.0,718.0,13754,RIBT
2007-06-06,724.0,724.0,680.0,708.0,708.0,12685,RIBT
2007-06-07,714.0,722.0,690.0,700.0,700.0,7162,RIBT
2007-06-08,708.0,720.0,688.0,700.0,700.0,6114,RIBT
2007-06-11,716.0,720.0,704.0,706.0,706.0,4122,RIBT
2007-06-12,708.0,714.0,698.0,706.0,706.0,2414,RIBT
2007-06-13,712.0,738.0,696.0,730.0,730.0,3866,RIBT
2007-06-14,738.0,764.0,736.0,752.0,752.0,4219,RIBT
2007-06-15,766.0,774.0,760.0,764.0,764.0,3711,RIBT
2007-06-18,764.0,774.0,750.0,754.0,754.0,2313,RIBT
2007-06-19,772.0,784.0,754.0,764.0,764.0,4740,RIBT
