Date,Open,High,Low,Close,Adj Close,Volume,ticker
2007-01-03,127.5,191.25,127.5,170.0,170.0,20,VRME
2007-01-04,170.0,182.75,170.0,182.75,182.75,2,VRME
2007-01-05,182.75,182.75,182.75,182.75,182.75,0,VRME
2007-01-08,182.75,182.75,182.75,182.75,182.75,1,VRME
2007-01-09,148.75,148.75,148.75,148.75,148.75,1,VRME
2007-01-10,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-01-11,148.75,148.75,148.75,148.75,148.75,1,VRME
2007-01-12,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-01-16,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-01-17,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-01-18,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-01-19,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-01-22,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-01-23,148.75,148.75,148.75,148.75,148.75,2,VRME
2007-01-24,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-01-25,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-01-26,170.0,170.0,127.5,127.5,127.5,3,VRME
2007-01-29,170.0,170.0,170.0,170.0,170.0,29,VRME
2007-01-30,148.75,148.75,148.75,148.75,148.75,1,VRME
2007-01-31,148.75,148.75,148.75,148.75,148.75,4,VRME
2007-02-01,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-02-02,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-02-05,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-02-06,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-02-07,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-02-08,148.75,148.75,148.75,148.75,148.75,0,VRME
2007-02-09,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-02-12,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-02-13,153.0,153.0,153.0,153.0,153.0,3,VRME
2007-02-14,136.0,136.0,136.0,136.0,136.0,4,VRME
2007-02-15,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-02-16,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-02-20,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-02-21,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-02-22,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-02-23,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-02-26,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-02-27,136.0,136.0,136.0,136.0,136.0,1,VRME
2007-02-28,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-03-01,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-03-02,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-03-05,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-03-06,136.0,136.0,136.0,136.0,136.0,5,VRME
2007-03-07,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-03-08,148.75,148.75,127.5,127.5,127.5,6,VRME
2007-03-09,127.5,127.5,127.5,127.5,127.5,14,VRME
2007-03-12,127.5,127.5,127.5,127.5,127.5,0,VRME
2007-03-13,127.5,127.5,127.5,127.5,127.5,0,VRME
2007-03-14,127.5,127.5,127.5,127.5,127.5,0,VRME
2007-03-15,127.5,127.5,127.5,127.5,127.5,0,VRME
2007-03-16,127.5,127.5,127.5,127.5,127.5,0,VRME
2007-03-19,127.5,127.5,127.5,127.5,127.5,18,VRME
2007-03-20,127.5,127.5,127.5,127.5,127.5,0,VRME
2007-03-21,127.5,127.5,127.5,127.5,127.5,0,VRME
2007-03-22,136.0,136.0,136.0,136.0,136.0,1,VRME
2007-03-23,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-03-26,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-03-27,136.0,136.0,136.0,136.0,136.0,2,VRME
2007-03-28,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-03-29,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-03-30,136.0,136.0,136.0,136.0,136.0,3,VRME
2007-04-02,136.0,136.0,136.0,136.0,136.0,20,VRME
2007-04-03,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-04-04,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-04-05,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-04-09,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-04-10,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-04-11,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-04-12,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-04-13,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-04-16,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-04-17,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-04-18,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-04-19,136.0,136.0,136.0,136.0,136.0,0,VRME
2007-04-20,127.5,127.5,127.5,127.5,127.5,2,VRME
2007-04-23,127.5,127.5,127.5,127.5,127.5,2,VRME
2007-04-24,127.5,127.5,127.5,127.5,127.5,0,VRME
2007-04-25,127.5,127.5,127.5,127.5,127.5,0,VRME
2007-04-26,106.25,106.25,85.0,85.0,85.0,19,VRME
2007-04-27,85.0,85.0,85.0,85.0,85.0,0,VRME
2007-04-30,85.0,85.0,85.0,85.0,85.0,1,VRME
2007-05-01,85.0,85.0,85.0,85.0,85.0,0,VRME
2007-05-02,85.0,85.0,85.0,85.0,85.0,0,VRME
2007-05-03,93.5,93.5,76.5,76.5,76.5,2,VRME
2007-05-04,76.5,76.5,76.5,76.5,76.5,0,VRME
2007-05-07,76.5,76.5,51.0,68.0,68.0,42,VRME
2007-05-08,68.0,68.0,68.0,68.0,68.0,1,VRME
2007-05-09,68.0,68.0,68.0,68.0,68.0,0,VRME
2007-05-10,68.0,68.0,68.0,68.0,68.0,0,VRME
2007-05-11,68.0,68.0,68.0,68.0,68.0,0,VRME
2007-05-14,68.0,68.0,68.0,68.0,68.0,0,VRME
2007-05-15,68.0,68.0,68.0,68.0,68.0,0,VRME
2007-05-16,68.0,68.0,68.0,68.0,68.0,0,VRME
2007-05-17,68.0,68.0,68.0,68.0,68.0,0,VRME
2007-05-18,68.0,68.0,68.0,68.0,68.0,0,VRME
2007-05-21,68.0,68.0,68.0,68.0,68.0,0,VRME
2007-05-22,68.0,68.0,68.0,68.0,68.0,0,VRME
2007-05-23,85.0,102.0,68.0,102.0,102.0,20,VRME
2007-05-24,102.0,102.0,102.0,102.0,102.0,0,VRME
2007-05-25,68.0,68.0,68.0,68.0,68.0,1,VRME
2007-05-29,68.0,68.0,68.0,68.0,68.0,0,VRME
2007-05-30,102.0,102.0,102.0,102.0,102.0,1,VRME
2007-05-31,102.0,102.0,102.0,102.0,102.0,0,VRME
2007-06-01,102.0,102.0,102.0,102.0,102.0,0,VRME
2007-06-04,102.0,102.0,102.0,102.0,102.0,0,VRME
2007-06-05,102.0,102.0,102.0,102.0,102.0,0,VRME
2007-06-06,102.0,102.0,102.0,102.0,102.0,0,VRME
2007-06-07,102.0,102.0,102.0,102.0,102.0,7,VRME
2007-06-08,102.0,102.0,102.0,102.0,102.0,0,VRME
2007-06-11,102.0,102.0,102.0,102.0,102.0,0,VRME
2007-06-12,102.0,102.0,102.0,102.0,102.0,0,VRME
2007-06-13,102.0,102.0,102.0,102.0,102.0,0,VRME
2007-06-14,85.0,99.875,51.0,51.0,51.0,9,VRME
2007-06-15,51.0,51.0,51.0,51.0,51.0,0,VRME
2007-06-18,51.0,51.0,51.0,51.0,51.0,0,VRME
2007-06-19,51.0,51.0,51.0,51.0,51.0,0,VRME
2007-06-20,51.0,51.0,51.0,51.0,51.0,0,VRME
2007-06-21,51.0,51.0,51.0,51.0,51.0,0,VRME
2007-06-22,51.0,51.0,51.0,51.0,51.0,0,VRME
2007-06-25,51.0,51.0,51.0,51.0,51.0,0,VRME
2007-06-26,51.0,51.0,51.0,51.0,51.0,0,VRME
2007-06-27,51.0,51.0,51.0,51.0,51.0,0,VRME
2007-06-28,51.0,51.0,51.0,51.0,51.0,0,VRME
2007-06-29,51.0,51.0,51.0,51.0,51.0,0,VRME
2007-07-02,51.0,51.0,51.0,51.0,51.0,0,VRME
